"","id","Year","Value"
"5899.1990",5899,1990,0.029
"5901.1990",5901,1990,0.115
"5902.1990",5902,1990,0.122
"637.1990",637,1990,37
"10705.1990",10705,1990,2.2
"4955.1990",4955,1990,15
"230.1990",230,1990,212
"228.1990",228,1990,221
"229.1990",229,1990,284
"18306.1990",18306,1990,455
"42.1990",42,1990,0.07
"43.1990",43,1990,0.52
"4594.1990",4594,1990,29
"3485.1990",3485,1990,19
"8103.1990",8103,1990,2
"4633.1990",4633,1990,4.9
"4916.1990",4916,1990,90
"3480.1990",3480,1990,0.94
"3478.1990",3478,1990,61
"14539.1990",14539,1990,37
"6189.1990",6189,1990,150
"119.1990",119,1990,350
"8147.1990",8147,1990,0.48
"22757.1990",22757,1990,120
"22823.1990",22823,1990,550
"22842.1990",22842,1990,9200
"22853.1990",22853,1990,1150
"28.1990",28,1990,49
"4914.1990",4914,1990,186
"128.1990",128,1990,36
"22753.1990",22753,1990,600
"22819.1990",22819,1990,550
"22838.1990",22838,1990,13000
"22849.1990",22849,1990,240
"10733.1990",10733,1990,12.86
"117.1990",117,1990,31
"22755.1990",22755,1990,100
"22821.1990",22821,1990,600
"22840.1990",22840,1990,5000
"22851.1990",22851,1990,500
"22761.1990",22761,1990,1250
"22827.1990",22827,1990,75
"22846.1990",22846,1990,13000
"22857.1990",22857,1990,3000
"5814.1990",5814,1990,6
"5815.1990",5815,1990,74
"22759.1990",22759,1990,800
"22825.1990",22825,1990,430
"22844.1990",22844,1990,7200
"22855.1990",22855,1990,1500
"5816.1990",5816,1990,10
"4837.1990",4837,1990,0.06
"4838.1990",4838,1990,1.75
"4839.1990",4839,1990,2.1
"4840.1990",4840,1990,0.49
"4842.1990",4842,1990,5
"632.1990",632,1990,7422
"22763.1990",22763,1990,2500
"22829.1990",22829,1990,10
"22848.1990",22848,1990,4400
"22859.1990",22859,1990,1650
"3412.1990",3412,1990,35
"3486.1990",3486,1990,53
"22760.1990",22760,1990,2000
"22826.1990",22826,1990,100
"22845.1990",22845,1990,40000
"22856.1990",22856,1990,4300
"11051.1990",11051,1990,12
"4963.1990",4963,1990,55
"11049.1990",11049,1990,455
"4363.1990",4363,1990,9.5
"3482.1990",3482,1990,200
"10732.1990",10732,1990,6.51
"11491.1990",11491,1990,3.33
"507.1990",507,1990,6.6
"4626.1990",4626,1990,7
"3418.1990",3418,1990,11
"3484.1990",3484,1990,49.5
"2356.1990",2356,1990,6
"6166.1990",6166,1990,19.5
"18761.1990",18761,1990,8.0194
